Frame,Mg,NaCl
MG_15mM_1264_Box_50_run1_frame0131_SHL4,0.358647,0.521141
MG_15mM_1264_Box_50_run1_frame0133_SHL4,0.231333,0.349181
MG_15mM_1264_Box_50_run1_frame0134_SHL4,0.286878,0.314841
MG_15mM_1264_Box_50_run1_frame0136_SHL2,0.25159,0.340699
MG_15mM_1264_Box_50_run1_frame0136_SHL4,0.575428,0.484579
MG_15mM_1264_Box_50_run1_frame0140_SHL2,0.54773,0.529076
MG_15mM_1264_Box_50_run1_frame0141_SHL2,0.27695,0.277782
MG_15mM_1264_Box_50_run1_frame0142_SHL2,0.233963,0.291777
MG_15mM_1264_Box_50_run1_frame0162_SHL2,0.141797,0.402639
MG_15mM_1264_Box_50_run1_frame0166_SHL2,0.700432,0.532036
MG_15mM_1264_Box_50_run1_frame0167_SHL2,0.024392,0.250757
MG_15mM_1264_Box_50_run1_frame0182_SHL2,0.101287,0.280262
MG_15mM_1264_Box_50_run1_frame0191_SHL2,0.18534,0.270753
MG_15mM_1264_Box_50_run1_frame0224_SHL4,0.110135,0.172337
MG_15mM_1264_Box_50_run1_frame0250_SHL2,0.089922,0.2056
MG_15mM_1264_Box_50_run1_frame0341_SHL4,0.156344,0.169331
MG_15mM_1264_Box_50_run1_frame0388_SHL6,0.187098,0.226704
MG_15mM_1264_Box_50_run1_frame0389_SHL6,0.108161,0.131616
MG_15mM_1264_Box_50_run2_frame0008_SHL2,0.096703,0.160895
MG_15mM_1264_Box_50_run2_frame0013_SHL2,0.022255,0.14997
MG_15mM_1264_Box_50_run2_frame0018_SHL2,0.25221,0.341688
MG_15mM_1264_Box_50_run2_frame0021_SHL2,0.030134,0.153348
MG_15mM_1264_Box_50_run2_frame0023_SHL2,0.052296,0.215929
MG_15mM_1264_Box_50_run2_frame0025_SHL2,0.150589,0.240952
MG_15mM_1264_Box_50_run2_frame0028_SHL2,0.122756,0.161145
MG_15mM_1264_Box_50_run2_frame0032_SHL2,0.159246,0.285437
MG_15mM_1264_Box_50_run2_frame0033_SHL2,0.164885,0.229979
MG_15mM_1264_Box_50_run2_frame0038_SHL2,0.21863,0.286692
MG_15mM_1264_Box_50_run2_frame0040_SHL2,0.139321,0.213784
MG_15mM_1264_Box_50_run2_frame0041_SHL2,0.043796,0.212099
