Frame,only_minor_groove,only_major_groove,only_dna_backbone,only_dna,only_gap,only_histone_tail,only_histone_core,only_acidic_patch,only_acidic_residues,only_histone,interface,binding_ions,unbinding_ions
5175,16,21,22,59,8,0,9,2,9,9,7,75,113
5200,16,21,22,59,8,0,7,3,7,7,10,76,112
5225,16,18,23,57,8,0,7,2,7,7,10,74,114
5250,17,18,24,59,9,0,6,2,6,6,11,76,112
5275,16,20,22,58,8,0,7,3,7,7,10,75,113
5300,15,19,25,59,7,0,7,2,7,7,12,78,110
5325,14,19,22,54,10,0,6,2,6,6,12,72,116
5350,14,18,26,58,7,1,8,2,8,9,8,75,113
5375,15,17,24,56,7,1,8,2,9,9,12,77,111
5400,16,19,23,58,5,0,8,2,8,8,9,75,113
5425,14,18,23,55,8,2,8,2,9,10,9,74,114
5450,15,19,26,60,8,2,8,2,9,10,5,75,113
5475,13,21,22,56,8,2,10,2,10,12,6,74,114
5500,10,19,24,53,11,2,9,2,10,11,5,69,119
5525,11,18,19,48,10,1,6,2,7,7,13,68,120
5550,14,21,18,53,8,0,9,2,9,9,9,71,117
5575,13,18,19,50,12,0,12,3,10,12,11,73,115
5600,14,18,22,54,12,0,10,2,9,10,10,74,114
5625,13,17,21,51,13,0,10,4,10,10,12,73,115
5650,14,19,18,51,12,1,9,4,9,10,9,70,118
5675,12,16,18,46,10,1,10,4,10,11,11,68,120
5700,11,19,18,49,10,0,10,4,9,10,14,73,115
5725,13,19,16,48,12,2,8,4,8,10,12,70,118
5750,12,20,21,53,9,0,9,4,9,9,12,74,114
5775,14,20,17,51,9,0,9,4,9,9,14,74,114
5800,14,19,20,53,10,1,8,4,9,9,12,74,114
5825,12,21,22,55,11,1,9,4,10,10,10,75,113
5850,13,19,19,51,11,0,9,4,9,9,13,73,115
5875,13,20,20,52,10,0,9,4,9,9,12,73,115
5900,12,19,22,53,9,0,8,4,8,8,13,74,114
5925,13,20,20,53,11,0,9,4,9,9,10,72,116
5950,13,18,24,55,12,0,9,4,8,9,9,73,115
5975,13,18,18,49,11,0,8,4,8,8,14,71,117
6000,14,17,23,54,11,0,9,5,9,9,14,77,111
6025,15,18,22,55,13,0,10,5,9,10,11,76,112
6050,14,18,23,55,14,0,8,5,8,8,13,76,112
6075,15,21,23,59,11,0,9,5,9,9,9,77,111
6100,15,21,21,57,12,0,8,5,8,8,12,77,111
6125,15,23,18,56,11,0,9,5,9,9,10,75,113
6150,15,22,17,55,10,0,9,4,9,9,11,75,113
6175,16,21,21,58,10,2,9,4,10,11,10,79,109
6200,17,22,18,57,12,1,9,4,10,10,10,77,111
6225,16,23,18,57,10,1,10,4,11,11,8,76,112
6250,15,25,18,58,12,1,9,4,10,10,9,77,111
6275,15,26,17,58,11,0,10,4,9,10,8,76,112
6300,13,24,20,57,10,0,10,4,10,10,9,76,112
6325,15,23,19,57,12,0,10,5,10,10,8,75,113
6350,16,23,17,56,12,0,9,5,9,9,8,73,115
6375,16,22,21,59,11,2,10,4,9,12,7,78,110
6400,15,21,16,52,11,0,11,4,11,11,9,72,116
6425,16,23,17,56,10,1,11,5,12,12,7,75,113
6450,14,22,20,56,8,0,9,5,9,9,10,75,113
6475,13,25,18,56,11,0,9,5,9,9,10,75,113
6500,13,22,17,52,10,2,10,4,11,12,8,72,116
6525,12,20,20,51,10,1,10,5,11,11,9,71,117
6550,14,22,20,56,9,2,9,5,10,11,9,76,112
6575,15,21,17,53,12,1,10,5,10,11,7,71,117
6600,14,18,18,50,12,2,10,5,11,12,8,70,118
6625,14,19,19,52,12,0,9,5,9,9,10,71,117
6650,16,18,18,52,12,0,10,5,10,10,10,72,116
6675,15,18,17,50,12,2,9,5,11,11,9,70,118
6700,17,21,16,54,10,3,9,5,12,12,7,73,115
6725,16,20,22,58,12,3,9,5,11,11,5,74,114
6750,14,21,23,58,11,1,9,5,10,10,7,75,113
6775,16,21,16,53,11,1,10,5,11,11,7,71,117
6800,15,22,16,53,10,1,11,4,12,12,6,71,117
6825,16,22,17,55,10,1,11,4,11,12,6,73,115
6850,17,22,15,54,9,1,11,5,11,12,7,73,115
6875,16,21,19,56,10,1,11,5,11,12,6,74,114
6900,17,22,15,54,9,2,11,5,12,13,5,72,116
6925,17,21,13,51,9,1,11,4,11,12,6,69,119
6950,17,22,16,55,9,1,11,4,11,12,6,73,115
6975,17,20,17,55,9,1,11,5,11,12,5,72,116
7000,17,20,12,49,8,1,12,5,12,13,5,67,121
7025,16,21,16,53,7,1,11,4,11,12,6,71,117
7050,15,21,14,50,8,1,11,5,11,12,6,68,120
7075,15,22,17,54,8,2,10,4,11,12,5,71,117
7100,13,21,16,50,9,1,12,5,13,13,5,68,120
7125,15,18,18,51,7,1,11,5,12,12,6,69,119
7150,15,20,16,51,9,1,13,5,14,14,4,69,119
7175,15,18,18,51,8,0,12,5,12,12,7,70,118
7200,14,18,20,52,7,1,12,5,13,13,4,69,119
7225,15,18,17,50,8,1,12,5,13,13,6,69,119
7250,15,18,20,53,9,0,13,5,12,13,6,72,116
7275,15,21,18,54,10,0,12,4,12,12,5,71,117
7300,13,19,20,52,8,0,11,5,11,11,8,71,117
7325,14,19,18,51,8,0,12,5,11,12,8,71,117
7350,14,18,17,49,10,1,12,5,12,13,8,70,118
7375,13,20,22,55,9,1,11,5,11,12,5,72,116
7400,16,20,18,54,10,3,10,5,12,13,5,72,116
