Frame,only_minor_groove,only_major_groove,only_dna_backbone,only_dna,only_gap,only_histone_tail,only_histone_core,only_acidic_patch,only_acidic_residues,only_histone,interface,binding_ions,unbinding_ions
5175,9,16,17,42,13,2,13,3,14,15,10,67,121
5200,8,14,23,45,16,2,13,3,14,15,10,70,118
5225,10,15,19,44,13,3,11,3,13,14,10,68,120
5250,7,10,29,46,17,2,12,3,14,14,10,70,118
5275,7,12,21,40,16,3,12,3,13,14,13,67,121
5300,6,12,25,43,18,2,12,3,12,13,13,69,119
5325,8,13,19,40,15,3,11,3,12,13,10,63,125
5350,8,11,23,42,14,4,11,3,12,14,8,64,124
5375,9,14,21,44,14,4,11,3,12,14,8,66,122
5400,9,14,21,44,15,3,11,3,12,13,9,66,122
5425,8,14,19,41,12,4,11,3,13,14,10,65,123
5450,10,12,19,41,13,4,14,4,16,17,9,67,121
5475,9,12,21,42,15,4,13,4,15,16,11,69,119
5500,10,10,19,39,12,4,12,3,13,15,10,64,124
5525,10,11,19,40,13,5,12,4,14,16,10,66,122
5550,11,10,23,44,13,4,13,4,15,16,8,68,120
5575,10,12,21,43,14,5,11,3,14,16,8,67,121
5600,10,12,21,42,14,4,11,3,14,15,9,66,122
5625,11,10,21,42,14,4,9,3,13,13,10,65,123
5650,11,12,21,44,14,5,9,3,13,14,11,69,119
5675,11,12,22,45,17,4,10,4,14,14,10,69,119
5700,11,13,22,46,13,4,10,3,12,14,10,70,118
5725,10,15,18,42,13,4,9,3,13,13,12,67,121
5750,11,15,16,43,14,4,10,3,13,13,11,67,121
5775,11,17,16,44,15,5,10,3,14,15,10,69,119
5800,10,15,19,44,13,4,10,3,12,13,12,69,119
5825,11,14,18,43,12,5,12,3,15,16,9,68,120
5850,9,11,20,40,13,4,10,3,13,14,11,65,123
5875,8,15,20,43,11,5,11,4,15,16,10,69,119
5900,9,13,19,41,13,4,12,4,16,16,6,63,125
5925,10,12,26,49,13,5,12,3,15,17,6,72,116
5950,10,15,18,43,13,5,11,3,15,16,9,68,120
5975,10,14,22,46,15,4,12,3,15,16,9,71,117
6000,10,15,21,46,14,4,12,4,16,16,10,72,116
6025,10,13,21,44,13,4,11,3,14,15,9,68,120
6050,10,12,25,46,15,4,11,4,15,15,10,71,117
6075,9,12,24,45,14,5,12,3,15,17,7,69,119
6100,10,15,20,45,10,4,12,3,15,16,8,69,119
6125,9,15,22,46,11,5,13,4,17,18,7,71,117
6150,8,14,25,47,14,6,12,3,16,18,7,72,116
6175,9,12,23,44,14,6,13,3,16,19,7,70,118
6200,11,12,20,43,14,5,13,3,16,18,8,69,119
6225,10,11,22,43,9,4,13,3,17,17,10,70,118
6250,11,11,22,44,11,4,13,3,16,17,9,70,118
6275,11,12,21,44,11,4,14,3,17,18,9,71,117
6300,12,11,19,42,10,5,14,3,17,19,6,67,121
6325,12,9,21,42,12,4,14,3,18,18,7,67,121
6350,12,9,20,41,11,4,12,3,16,16,7,64,124
6375,12,12,21,45,11,5,11,3,15,16,9,70,118
6400,13,12,19,44,11,5,13,3,16,18,7,69,119
6425,13,11,18,42,11,5,12,3,16,17,8,67,121
6450,11,13,18,42,10,4,13,3,16,17,8,67,121
6475,9,15,20,44,11,5,13,3,17,18,8,70,118
6500,11,14,22,47,12,5,12,3,15,17,8,72,116
6525,10,14,20,44,13,5,13,4,17,18,8,70,118
6550,11,11,21,43,12,4,13,3,17,17,7,67,121
6575,10,11,23,44,10,5,13,3,17,18,7,69,119
6600,11,13,18,42,10,5,12,3,16,17,10,69,119
6625,11,15,18,44,10,5,13,4,17,18,9,71,117
6650,11,14,20,45,12,4,13,3,17,17,9,71,117
6675,9,13,19,41,12,3,13,3,16,16,12,69,119
6700,9,10,24,43,10,4,14,3,17,18,8,69,119
6725,9,12,21,42,9,4,13,3,16,17,9,68,120
6750,9,13,21,43,11,3,13,3,16,16,10,69,119
6775,9,13,22,44,11,4,14,3,17,18,9,71,117
6800,9,13,19,41,11,4,12,3,15,16,12,69,119
6825,9,15,20,44,14,5,13,3,17,18,9,71,117
6850,8,10,25,43,13,3,14,3,16,17,10,70,118
6875,9,14,19,42,13,3,14,3,15,17,10,69,119
6900,9,14,19,42,12,3,15,3,17,18,9,69,119
6925,8,14,22,44,11,4,13,3,16,17,8,69,119
6950,8,16,18,42,12,3,14,3,16,17,11,70,118
6975,11,15,19,45,11,3,13,3,15,16,9,70,118
7000,11,13,22,46,11,4,13,3,15,17,8,71,117
7025,11,14,21,46,13,2,13,3,14,15,10,71,117
7050,11,14,19,44,14,2,12,3,12,14,11,69,119
7075,11,16,17,44,11,2,14,3,14,16,10,70,118
7100,10,13,21,44,14,1,13,4,13,14,13,71,117
7125,9,15,21,45,13,1,11,3,11,12,13,70,118
7150,10,13,25,48,14,3,14,3,16,17,8,73,115
7175,8,10,28,46,17,1,14,3,13,15,11,72,116
7200,10,11,24,45,15,1,14,3,13,15,11,71,117
7225,11,14,20,45,13,2,15,3,15,17,9,71,117
7250,11,11,21,43,13,2,16,3,16,18,10,71,117
7275,10,11,26,47,14,3,15,4,16,18,8,73,115
7300,10,14,21,46,14,2,15,3,15,16,12,74,114
7325,10,10,26,46,17,0,13,3,13,13,15,74,114
7350,8,12,22,43,13,1,13,3,13,14,11,68,120
7375,9,11,23,43,15,0,15,3,15,15,12,70,118
7400,11,12,21,44,14,3,15,3,15,18,12,74,114
7425,12,12,23,47,15,0,14,3,14,14,13,74,114
7450,12,15,18,45,12,0,15,3,15,15,12,72,116
7475,12,15,17,44,12,1,14,3,14,15,13,72,116
7500,12,13,20,45,15,0,16,3,16,16,12,73,115
7525,12,12,17,41,13,0,15,3,15,15,14,70,118
7550,12,12,20,44,12,0,16,3,16,16,14,74,114
7575,10,11,21,42,15,1,16,3,16,17,13,72,116
7600,11,13,17,40,15,0,16,3,15,16,12,68,120
7625,10,13,19,42,16,0,12,3,11,12,14,68,120
7650,12,12,16,40,12,0,14,3,13,14,14,68,120
7675,12,12,18,42,13,2,13,3,12,15,16,73,115
7700,11,13,18,42,15,1,14,3,13,15,13,70,118
7725,10,15,19,44,13,2,15,3,16,17,9,70,118
7750,10,12,18,40,15,2,16,3,15,18,11,69,119
7775,12,13,16,41,16,3,15,3,16,18,12,71,117
7800,11,13,16,40,12,1,16,3,15,17,12,69,119
7825,11,16,15,42,11,3,16,3,16,19,11,72,116
7850,11,14,17,42,13,2,17,3,16,19,9,70,118
7875,11,12,16,39,14,3,16,3,15,18,12,69,119
7900,10,10,16,36,17,1,16,3,15,17,14,67,121
7925,12,13,12,37,13,1,16,3,15,17,12,66,122
7950,11,12,15,38,13,1,17,3,15,17,11,66,122
7975,12,12,14,38,13,2,17,3,16,19,8,65,123
8000,12,14,13,39,13,2,16,3,16,18,11,68,120
8025,12,13,12,37,14,3,17,3,17,20,9,66,122
8050,12,15,13,40,14,2,17,3,16,19,10,69,119
8075,12,16,11,39,11,2,17,3,16,19,9,67,121
8100,11,16,15,42,12,0,17,3,15,17,10,69,119
8125,10,13,17,40,11,0,16,3,15,16,12,68,120
8150,11,14,14,39,11,0,16,3,15,16,11,66,122
8175,12,14,15,41,14,2,16,4,18,18,10,69,119
8200,13,17,9,39,13,0,17,3,15,17,12,68,120
8225,12,18,10,40,11,1,15,3,15,16,13,69,119
8250,12,16,13,41,13,0,16,4,15,16,12,69,119
8275,11,14,13,39,12,1,18,3,17,19,9,67,121
8300,12,16,13,41,10,1,17,4,17,18,10,69,119
8325,12,15,13,40,12,2,16,4,16,18,11,69,119
8350,12,13,18,43,11,0,17,4,16,17,11,71,117
8375,12,15,14,41,10,2,17,4,18,19,10,70,118
8400,13,16,13,42,11,1,17,3,16,18,11,71,117
8425,13,15,12,40,9,1,16,4,16,17,13,70,118
8450,13,17,12,42,8,0,17,4,16,17,11,70,118
8475,12,15,13,40,9,0,16,3,15,16,13,69,119
8500,11,15,19,45,12,1,15,4,14,16,13,74,114
8525,10,13,18,42,15,0,14,3,13,14,15,71,117
8550,13,13,15,41,11,0,15,3,14,15,13,69,119
8575,14,16,13,43,11,0,15,4,14,15,12,70,118
8600,14,12,14,40,9,2,14,3,14,16,11,67,121
8625,14,13,18,46,12,0,15,3,14,15,12,73,115
8650,13,12,15,40,12,2,15,4,16,17,13,70,118
8675,12,10,16,38,11,2,15,4,16,17,16,71,117
8700,11,10,20,41,15,2,15,3,15,17,12,70,118
8725,11,11,18,40,11,3,17,3,18,20,9,69,119
8750,13,9,19,41,13,1,16,3,15,17,13,71,117
8775,14,10,21,45,13,1,16,3,15,17,11,73,115
8800,10,13,20,43,15,1,16,3,15,17,12,72,116
8825,12,13,20,45,15,0,15,3,14,15,14,74,114
8850,12,10,22,44,17,0,17,3,15,17,12,73,115
8875,10,11,20,41,15,0,16,4,15,16,14,71,117
8900,11,13,21,45,16,1,15,4,15,16,14,75,113
8925,13,9,21,43,18,2,17,3,16,17,13,73,115
8950,12,12,17,42,16,1,15,3,14,16,13,71,117
8975,11,14,21,46,15,1,16,3,15,17,12,75,113
9000,11,11,22,44,17,2,16,3,15,18,13,75,113
9025,10,13,23,46,17,2,16,3,15,18,12,76,112
9050,11,14,23,48,17,2,16,3,15,18,11,77,111
9075,10,13,25,48,17,3,17,3,17,20,9,77,111
9100,10,11,23,44,18,2,16,3,16,18,13,75,113
9125,11,14,20,45,16,2,16,3,15,18,13,76,112
9150,10,12,25,47,18,2,15,3,16,17,13,77,111
9175,9,13,22,44,20,1,17,3,16,18,10,72,116
9200,5,13,29,47,18,1,15,3,16,16,13,76,112
9225,6,15,23,44,16,2,16,3,15,17,14,75,113
9250,6,15,21,42,14,1,15,3,16,16,15,73,115
9275,6,15,23,44,12,1,16,3,17,17,13,74,114
9300,6,13,26,45,13,0,16,3,16,16,13,74,114
9325,6,16,22,44,13,0,16,4,15,16,12,72,116
9350,6,15,23,44,18,1,17,3,16,18,10,72,116
9375,7,14,24,45,14,0,16,3,15,16,14,75,113
9400,7,15,21,44,16,1,15,3,14,16,13,73,115
9425,6,15,25,46,17,1,16,3,16,17,13,76,112
9450,7,11,27,45,18,1,17,3,16,18,13,76,112
9475,7,13,25,45,19,1,17,3,16,18,11,74,114
9500,8,12,22,43,19,1,18,3,16,19,13,75,113
9525,8,20,20,48,17,1,16,3,14,17,13,78,110
9550,7,16,22,45,17,1,14,3,13,15,14,74,114
9575,7,16,24,47,17,1,16,3,14,17,11,75,113
9600,5,17,24,46,17,1,14,3,13,15,14,75,113
9625,4,16,26,46,18,1,15,3,14,16,11,73,115
9650,5,16,28,49,17,1,15,3,14,16,13,78,110
9675,6,13,27,46,20,1,14,3,13,15,13,74,114
9700,7,15,25,47,18,0,16,3,14,16,12,75,113
9725,5,13,28,47,17,2,15,3,14,16,11,74,114
9750,6,13,29,48,18,1,16,3,14,17,11,76,112
9775,4,11,31,46,19,0,15,3,14,15,12,73,115
9800,4,12,34,50,19,1,16,3,15,16,12,78,110
9825,5,13,30,48,20,1,17,3,15,17,12,77,111
9850,7,14,27,48,19,2,17,3,16,18,11,77,111
9875,7,15,25,47,20,1,18,3,15,18,10,75,113
9900,6,12,29,47,19,2,17,3,15,17,10,74,114
9925,7,14,26,47,18,1,16,3,14,16,12,75,113
9950,5,16,27,48,16,2,17,3,15,18,9,75,113
9975,6,13,28,47,18,1,16,3,14,16,11,74,114
10000,6,11,30,47,19,1,16,3,15,16,12,75,113
10025,6,13,26,45,17,1,17,3,16,17,12,74,114
10050,7,12,26,45,20,1,17,3,15,17,12,74,114
10075,8,12,26,46,20,1,16,3,15,16,13,75,113
10100,9,12,23,44,18,1,16,3,15,16,13,73,115
10125,8,13,24,45,19,2,16,3,16,17,13,75,113
10150,7,15,21,43,17,1,17,3,16,17,14,74,114
10175,9,15,22,46,17,1,15,3,15,15,15,76,112
10200,8,11,25,44,18,1,16,3,16,16,14,74,114
10225,8,12,23,43,16,1,15,3,15,15,17,75,113
10250,8,12,23,43,16,2,16,3,15,17,17,77,111
10275,8,11,22,41,15,0,16,3,14,16,16,73,115
10300,7,11,29,48,16,0,16,3,15,16,13,77,111
10325,7,11,28,46,16,0,16,3,16,16,13,75,113
10350,7,8,31,46,18,1,17,3,16,18,11,75,113
10375,5,12,28,45,19,1,14,3,15,15,15,75,113
10400,8,10,29,47,19,1,16,3,16,17,12,76,112
10425,9,10,26,44,18,1,17,3,17,18,11,73,115
10450,7,13,26,47,16,3,17,3,17,20,10,77,111
10475,7,13,24,43,16,3,15,3,16,18,13,74,114
10500,8,10,21,39,16,2,15,3,16,17,17,73,115
10525,9,11,21,41,15,1,15,3,16,16,17,74,114
10550,10,12,23,44,17,1,16,3,16,17,14,75,113
10575,9,13,23,45,16,0,17,3,16,17,14,76,112
10600,9,13,25,46,18,0,14,3,14,14,13,73,115
10625,7,10,24,41,18,0,17,3,16,17,14,72,116
10650,9,14,23,46,15,0,15,3,15,15,15,76,112
10675,10,9,23,43,16,1,15,3,16,16,16,75,113
10700,9,13,25,47,16,0,16,3,16,16,14,77,111
10725,7,13,25,45,17,0,16,3,16,16,14,75,113
10750,8,15,21,44,18,1,16,3,17,17,15,76,112
