system,h_avg,delta_h,r_avg,delta_r,Youngs_modulus
MG_15mM_1264_wo_run1_part10,53.317,0.478,54.485,0.252,15.336
MG_15mM_1264_wo_run1_part11,53.147,0.487,54.431,0.266,14.261
MG_15mM_1264_wo_run1_part12,53.051,0.481,54.656,0.272,14.033
MG_15mM_1264_wo_run1_part13,53.659,0.641,54.577,0.263,10.633
MG_15mM_1264_wo_run1_part14,53.331,0.5,54.629,0.289,12.729
MG_15mM_1264_wo_run1_part15,53.602,0.474,54.754,0.319,12.035
MG_15mM_1264_wo_run1_part16,53.441,0.514,54.548,0.271,13.231
MG_15mM_1264_wo_run1_part17,53.54,0.506,54.747,0.303,11.961
MG_15mM_1264_wo_run1_part18,53.379,0.532,54.449,0.323,10.724
MG_15mM_1264_wo_run1_part19,53.395,0.554,54.446,0.286,11.633
MG_15mM_1264_wo_run1_part20,53.429,0.524,54.55,0.243,14.352
MG_15mM_1264_wo_run1_part21,53.305,0.491,54.504,0.272,13.815
MG_15mM_1264_wo_run1_part22,53.622,0.549,54.301,0.282,11.943
MG_15mM_1264_wo_run1_part23,53.673,0.502,54.219,0.288,12.803
MG_15mM_1264_wo_run1_part24,53.719,0.652,54.433,0.314,8.981
MG_15mM_1264_wo_run2_part0,53.313,0.575,54.504,0.236,13.227
MG_15mM_1264_wo_run2_part1,53.014,0.472,54.739,0.252,15.446
MG_15mM_1264_wo_run2_part2,53.124,0.497,54.667,0.233,15.744
MG_15mM_1264_wo_run2_part3,53.838,0.576,54.579,0.242,12.916
MG_15mM_1264_wo_run2_part4,53.944,0.594,54.67,0.277,11.059
MG_15mM_1264_wo_run2_part5,54.004,0.683,54.531,0.219,11.332
MG_15mM_1264_wo_run2_part6,54.112,0.604,54.661,0.335,9.088
MG_15mM_1264_wo_run2_part7,54.016,0.669,54.397,0.281,9.637
MG_15mM_1264_wo_run2_part8,53.545,0.674,54.544,0.668,3.729
MG_15mM_1264_wo_run2_part9,53.17,0.685,55.827,0.938,2.276
MG_15mM_1264_wo_run2_part10,53.194,0.772,56.496,1.341,1.244
MG_15mM_1264_wo_run2_part11,53.577,0.481,54.621,0.349,10.754
MG_15mM_1264_wo_run2_part12,53.364,0.537,54.649,0.28,12.201
MG_15mM_1264_wo_run2_part13,53.288,0.542,54.72,0.266,12.651
MG_15mM_1264_wo_run2_part14,52.22,0.503,54.724,0.272,13.432
MG_15mM_1264_wo_run2_part15,52.408,0.543,54.7,0.276,12.224
MG_15mM_1264_wo_run2_part16,52.772,0.502,54.699,0.291,12.597
MG_15mM_1264_wo_run2_part17,52.937,0.544,54.566,0.275,12.261
MG_15mM_1264_wo_run2_part18,52.643,0.596,54.893,0.279,10.901
MG_15mM_1264_wo_run2_part19,52.574,0.589,55.063,0.266,11.454
MG_15mM_1264_wo_run2_part20,52.754,0.643,55.288,0.538,5.047
MG_15mM_1264_wo_run2_part21,53.303,0.565,54.946,0.306,10.575
MG_15mM_1264_wo_run2_part22,53.185,0.621,54.951,0.282,10.327
MG_15mM_1264_wo_run2_part23,53.449,0.623,54.768,0.315,9.336
MG_15mM_1264_wo_run2_part24,53.598,0.537,54.697,0.254,13.368
MG_15mM_1264_wo_run3_part0,52.832,0.663,54.646,0.296,9.216
MG_15mM_1264_wo_run3_part1,53.12,0.49,54.5,0.279,13.521
MG_15mM_1264_wo_run3_part2,52.898,0.511,54.474,0.281,12.842
