Frame,System,Number
138,MG_15mM_1264_wo_rw_run2,0
139,MG_15mM_1264_wo_rw_run2,0
140,MG_15mM_1264_wo_rw_run2,0
141,MG_15mM_1264_wo_rw_run2,0
142,MG_15mM_1264_wo_rw_run2,11
143,MG_15mM_1264_wo_rw_run2,9
144,MG_15mM_1264_wo_rw_run2,3
145,MG_15mM_1264_wo_rw_run2,1
146,MG_15mM_1264_wo_rw_run2,0
147,MG_15mM_1264_wo_rw_run2,2
148,MG_15mM_1264_wo_rw_run2,4
149,MG_15mM_1264_wo_rw_run2,0
150,MG_15mM_1264_wo_rw_run2,0
151,MG_15mM_1264_wo_rw_run2,1
152,MG_15mM_1264_wo_rw_run2,0
153,MG_15mM_1264_wo_rw_run2,0
154,MG_15mM_1264_wo_rw_run2,0
155,MG_15mM_1264_wo_rw_run2,0
156,MG_15mM_1264_wo_rw_run2,0
157,MG_15mM_1264_wo_rw_run2,0
158,MG_15mM_1264_wo_rw_run2,0
159,MG_15mM_1264_wo_rw_run2,0
160,MG_15mM_1264_wo_rw_run2,0
161,MG_15mM_1264_wo_rw_run2,0
162,MG_15mM_1264_wo_rw_run2,1
163,MG_15mM_1264_wo_rw_run2,0
164,MG_15mM_1264_wo_rw_run2,0
165,MG_15mM_1264_wo_rw_run2,0
166,MG_15mM_1264_wo_rw_run2,0
167,MG_15mM_1264_wo_rw_run2,0
168,MG_15mM_1264_wo_rw_run2,1
169,MG_15mM_1264_wo_rw_run2,0
170,MG_15mM_1264_wo_rw_run2,0
171,MG_15mM_1264_wo_rw_run2,0
172,MG_15mM_1264_wo_rw_run2,0
173,MG_15mM_1264_wo_rw_run2,1
174,MG_15mM_1264_wo_rw_run2,1
175,MG_15mM_1264_wo_rw_run2,0
176,MG_15mM_1264_wo_rw_run2,0
177,MG_15mM_1264_wo_rw_run2,1
178,MG_15mM_1264_wo_rw_run2,1
179,MG_15mM_1264_wo_rw_run2,0
180,MG_15mM_1264_wo_rw_run2,1
181,MG_15mM_1264_wo_rw_run2,0
182,MG_15mM_1264_wo_rw_run2,0
183,MG_15mM_1264_wo_rw_run2,0
184,MG_15mM_1264_wo_rw_run2,0
185,MG_15mM_1264_wo_rw_run2,0
186,MG_15mM_1264_wo_rw_run2,0
187,MG_15mM_1264_wo_rw_run2,0
188,MG_15mM_1264_wo_rw_run2,0
189,MG_15mM_1264_wo_rw_run2,2
190,MG_15mM_1264_wo_rw_run2,0
191,MG_15mM_1264_wo_rw_run2,3
192,MG_15mM_1264_wo_rw_run2,3
193,MG_15mM_1264_wo_rw_run2,2
194,MG_15mM_1264_wo_rw_run2,0
195,MG_15mM_1264_wo_rw_run2,3
196,MG_15mM_1264_wo_rw_run2,3
197,MG_15mM_1264_wo_rw_run2,2
198,MG_15mM_1264_wo_rw_run2,3
