Frame,minor_groove,major_groove,DNA_backbone,DNA_gap,histone_tail,histone_core,interface
7125,8,21,23,10,0,8,14
7150,8,21,21,10,1,10,15
7175,8,23,22,10,1,8,11
7200,7,20,24,12,0,10,13
7225,8,19,23,13,1,11,14
7250,8,18,25,11,1,9,12
7275,10,22,18,12,0,10,11
7300,9,19,19,11,1,11,14
7325,9,21,20,9,2,9,12
7350,8,19,23,9,0,10,14
7375,8,19,17,8,0,10,15
7400,9,19,18,10,0,11,15
7425,9,21,22,10,0,10,11
7450,9,21,20,10,0,10,16
7475,8,20,22,12,0,10,14
7500,8,21,19,11,1,11,15
7525,8,20,22,12,0,11,13
7550,7,20,22,12,0,11,13
7575,9,24,15,11,0,12,13
7600,8,21,21,12,0,11,14
7625,6,22,20,13,0,12,13
7650,7,22,22,16,0,13,12
7675,6,21,20,16,1,12,15
7700,7,22,21,17,0,14,12
7725,6,23,22,15,0,12,14
7750,9,22,23,13,0,12,15
7775,9,23,21,13,0,13,15
7800,7,23,23,16,0,15,10
7825,7,22,20,14,0,14,11
7850,9,21,23,13,1,10,13
7875,9,23,22,12,0,12,10
7900,9,23,22,13,1,12,11
7925,9,22,20,15,0,12,12
7950,9,21,23,13,0,12,13
7975,9,19,17,12,1,10,17
8000,8,21,18,14,1,11,17
8025,8,22,14,14,0,12,14
8050,8,23,18,12,0,11,16
8075,8,22,16,13,1,12,13
8100,6,21,20,13,1,13,12
8125,6,21,21,14,1,12,12
8150,8,22,18,15,2,11,12
8175,8,22,15,17,2,12,13
8200,8,23,16,14,1,12,12
8225,8,21,19,14,1,12,13
8250,8,21,19,13,1,13,11
8275,8,20,20,13,2,14,13
8300,9,20,18,13,2,12,15
8325,9,21,18,11,1,13,14
8350,9,19,19,12,2,13,14
8375,11,20,14,13,1,14,13
8400,11,19,15,12,0,13,15
8425,10,20,16,11,2,12,14
8450,11,20,14,11,0,12,15
8475,10,21,14,12,0,12,14
8500,8,20,14,12,1,14,16
8525,7,20,17,16,1,15,14
8550,7,20,19,12,1,12,14
8575,8,19,17,11,2,15,12
8600,7,21,16,12,0,13,12
8625,6,19,16,14,2,14,15
8650,5,21,14,13,1,14,13
8675,6,18,14,11,0,14,15
8700,4,21,18,10,1,12,14
8725,3,21,16,10,4,14,12
8750,6,21,14,9,0,14,14
8775,6,20,15,9,0,14,13
8800,8,23,14,9,0,14,12
8825,9,23,11,8,1,14,14
8850,10,22,11,9,0,13,14
8875,10,22,11,10,0,14,14
8900,7,19,21,14,1,13,13
8925,7,21,18,14,0,12,14
8950,5,22,20,12,0,12,14
8975,9,18,14,11,1,13,17
9000,10,18,19,12,1,12,14
9025,8,19,17,12,1,13,15
9050,9,18,18,12,2,13,16
9075,12,19,17,13,1,13,14
9100,10,20,16,15,0,13,14
9125,8,18,18,14,1,13,13
9150,9,20,18,14,1,12,14
9175,9,17,20,13,0,12,16
9200,6,18,20,12,0,12,17
9225,6,19,21,13,0,13,15
9250,6,19,15,11,1,13,17
9275,7,18,19,13,1,14,14
9300,8,18,20,11,1,12,17
9325,9,21,17,12,1,13,15
9350,10,20,17,12,0,13,14
9375,9,21,17,12,0,12,16
9400,9,19,14,11,0,12,19
9425,8,21,14,12,0,12,20
9450,10,19,18,10,0,12,18
9475,8,24,16,11,0,13,16
9500,11,20,18,11,0,13,15
9525,12,22,16,12,0,12,15
9550,12,25,11,13,0,12,14
9575,12,24,12,14,1,12,14
9600,11,21,16,13,0,12,17
9625,13,20,14,13,0,14,16
9650,12,20,16,13,3,13,13
9675,11,23,15,11,0,12,14
9700,11,24,17,12,1,13,11
9725,11,23,17,12,0,13,15
9750,12,23,15,13,0,12,13
9775,12,22,17,12,0,13,13
9800,13,20,14,13,1,12,14
9825,10,20,19,13,1,13,13
9850,10,21,16,14,1,12,14
9875,10,19,19,13,1,14,11
9900,7,22,19,15,1,14,13
9925,8,26,17,12,0,13,11
9950,8,26,17,10,0,12,11
